AREA,CODE,COUNTRY NAME
European Union (EU),EU-28 ,European Union (28 countries)
European Union (EU),BE ,Belgium
European Union (EU),BG ,Bulgaria
European Union (EU),CZ ,Czech Republic
European Union (EU),DK ,Denmark
European Union (EU),DE ,Germany (including former GDR from 1991)
European Union (EU),EE ,Estonia
European Union (EU),IE ,Ireland
European Union (EU),EL ,Greece
European Union (EU),ES ,Spain
European Union (EU),FR ,France
European Union (EU),HR ,Croatia
European Union (EU),IT ,Italy
European Union (EU),CY ,Cyprus
European Union (EU),LV ,Latvia
European Union (EU),LT ,Lithuania
European Union (EU),LU ,Luxembourg
European Union (EU),HU ,Hungary
European Union (EU),MT ,Malta
European Union (EU),NL ,Netherlands
European Union (EU),AT ,Austria
European Union (EU),PL ,Poland
European Union (EU),PT ,Portugal
European Union (EU),RO ,Romania
European Union (EU),SI ,Slovenia
European Union (EU),SK ,Slovakia
European Union (EU),FI ,Finland
European Union (EU),SE ,Sweden
European Union (EU),UK ,United Kingdom
European Free Trade Association (EFTA),IS ,Iceland
European Free Trade Association (EFTA),LI ,Liechtenstein
European Free Trade Association (EFTA),NO ,Norway
European Free Trade Association (EFTA),CH ,Switzerland
EU candidate countriesÿ,TR ,Turkey
European Neighbourhood Policy (ENP)-South,IL ,Israel
Other European countries,RU ,Russia
Non-European countries,AU ,Australia
Non-European countries,BR ,Brazil
Non-European countries,CA ,Canada
Non-European countries,CN_X_HK ,China (except Hong Kong)
Non-European countries,HK ,Hong Kong
Non-European countries,IN ,India
Non-European countries,JP ,Japan
Non-European countries,MX ,Mexico
Non-European countries,NZ ,New Zealand
Non-European countries,SG ,Singapore
Non-European countries,ZA ,South Africa
Non-European countries,KR ,South Korea
Non-European countries,TW ,Taiwan
Non-European countries,US ,United States
World,WORLD ,All countries of the world 
